	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
갈등하다	윤리와 실질적인 이득 사이에서 갈등했다. 	갈등했다	집안일로 갈등하는 와중에도 서로를 걱정하였다. 	갈등하는	최근 우리 사이에 갈등이 잦은 건 너도 느끼고 있잖아.	갈등	내심 갈등하였으나 나의 선택은 이미 정해진 것이나 다름 없었다.	갈등하였으나	이번에야말로 진지하게 갈등하는 듯 싶더니 이내 다른 주제에 신이 나 이야기를 하기 시작했다. 	갈등하는	끊이지 않는 갈등이 반복되니 오래 볼 사람은 아니라고 생각했다.	갈등
노기	노인은 화가 나서 얼굴에 노기를 드러냈다. 	노기	선을 넘는 모욕적인 발언에 어머니는 노기를 터뜨리고 말았다. 	노기	노기를 띤 목소리로 나를 훈육하시곤 했다.	노기	그녀의 말투에서는 분명한 노기가 느껴졌다.	노기	준비한 말이 끝났을 때 심드렁한 상사의 태도에 노기를 느꼈다. 	노기	노기를 가라앉히기 위해서는 심호흡이 효과적이다.	노기
노심초사하다	행여나 여행이 취소될까 노심초사하였다.	노심초사하였다.	이번에는 또 무슨 사고를 쳤을까 노심초사하는 기색이었다. 	노심초사하는	시험 결과가 발표되기만을 노심초사하며 기다렸다.	노심초사하며	회사의 미래가 달린 선택을 앞두고 그녀는 노심초사했다.	노심초사했다	노심초사한 후에야 해결책의 실마리가 보이는 듯 했다. 	노심초사한	그녀는 발전기를 고치는 와중에도 노심초사하며 연신 주변을 살폈다. 	노심초사하며
기막히다	뻔뻔하게 유산을 요구하는 꼴이 기막혔다.	기막혔다	기막힌 일이라서 입이 절로 벌어졌다.	기막힌	제 말은 듣지도 않으면서 불만을 토해내니 기막힐 노릇이었다. 	기막힐	급히 이야기를 마무리 짓고 기억나지 않는다며 발뺌하는 모습이 기막혔다.	기막혔다	자신에게 온갖 책임을 떠넘기고 뻔뻔하게 구는 것이 기막힐 노릇이었다. 	기막힐	그 사업가의 모순적이고도 기막힌 행보를 응원할 이유는 없었다. 	기막힌
부아	내 상황을 알면서도 제 자랑을 끊임없이 하는 모습을 보니 부아가 났다. 	부아	옷을 찾느라 방을 엉망으로 만든 것을 보고 부아를 냈다. 	부아	의지는 고려되지 않은 채 휘둘리고 있다고 생각하니 부아가 끓었다. 	부아	끓어오르는 부아를 가라앉히기 위해 감정적인 문제는 뒤로 미뤄두었다.	부아	내 상황을 뻔히 알면서 앞에서 자랑을 하는 친구를 보니 부아가 났다.	부아	부아가 끓었다가도 금세 식으니 그 여파는 오직 나에게만 머물다 사라지곤 했다.	부아
불만	불만에 가득찬 표정으로 나에게 말을 걸었다.	불만	친구와 다툰 후 서운했다고 불만을 털어놓았다.	불만	결과에 대한 불만사항이 있으시다면 아래 번호로 연락 부탁드립니다. 	불만	지도자의 비효율적인 일 처리에 불만을 토로했다. 	불만	사소한 불만으로만 여기던 의견들이 어떠한 결과로 돌아올지 몰랐다. 	불만	제품 품질에 대한 불만은 일파만파로 퍼져 나갔다.	불만
불안하다	제대로 하는지 확신이 없어 몹시 불안했다.	불안했다	다리를 떨거나 손톱을 깨무는 등 몹시 불안한 모습이었다.	불안한	사다리가 불안하게 삐걱거렸다.	불안하게	불안한 모습을 누구에게도 보이고 싶어 하지 않았다. 	불안한	그녀는 강박에 가까운 일상을 불안하게 유지하고 있었다. 	불안하게	불안함을 벗으로 여긴 지는 꽤 되었다.	불안함
사무치다	다시는 만날 수 없다는 슬픔이 가슴에 사무쳤다.	사무쳤다	이따금 사무치는 그리움을 달래야만 했다.	사무치는	그녀는 그녀의 옛 연인을 사무치게 사랑했다. 	사무치게	사무치는 슬픔도 내일의 해를 뜨지 않게 할 수는 없었다.	사무치는	날씨가 화창할수록 그리움은 더욱 사무쳤다. 	사무쳤다	사무치는 마음은 함께할수록 위로가 되었다.	사무치는
무시무시하다	가짜인 걸 알고 있어도 그 모형은 정말 무시무시했다.	무시무시했다	주머니에서 무시무시한 칼을 꺼내 들었다. 	무시무시한	그녀의 으름장은 무시무시하게 들렸다. 	무시무시하게	무시무시할 정도로 사람이 가득한 공간이었다.	무시무시할	무시무시한 기색으로 다가와서는 짧게 인사를 건네고 쌩 가 버렸다.	무시무시한	사기를 높이기 위해 무시무시하게 생긴 투구를 쓰고 전쟁에 나갔다. 	무시무시하게
속타다	제 속도 모르고 헤헤 웃는 아이를 보면 속탔다.	속탔다	남은 속이 타는 줄 모르고 여유를 부리는 꼴이 거슬렸다. 	속이 타는	최종 발표가 연기되었다는 소식에 속이 타는 듯 했다.	속이 타는	자신의 순서가 다가올수록 바짝바짝 속이 탈 뿐이었다. 	속이 탈	대회는 가까워지는데 자신은 아직 모자란 것 같아 속이 탔다.	속이 탔다	타는 속을 아는지 모르는지 태연하게 친구와 전화를 하고 있었다. 	타는 속
수치	가문의 수치라는 말을 듣고 자랐다.	수치	멸시와 수치로 얼룩진 삶을 살았다. 	수치	실수는 곳 실책이 되었고, 이는 장군에게 있어 큰 수치였다.	수치	잊히지 않는 수치심을 안겨 준 상대에 대한 복수를 다짐했다.	수치심	부정으로 거머쥔 치욕스럽고 수치스러운 승리에도 기쁜 듯 환하게 웃었다. 	수치스러운	미처 대비하지 못했다는 생각에 스스로를 수치스럽게 여겼다.	수치스럽게
싫다	다른 친척과 비교되는 것이 정말 싫었다. 	싫었다	직원은 내가 실수로 흘린 음료를 싫은 기색 하나 없이 닦아 주었다. 	싫은	괘씸한 놈 이야기는 듣는 것 조차 싫으니 이쯤하도록 하자.	싫으니	동료와 비교당하는 와중에도 우위를 점해 내심 기뻐하는 스스로가 싫었다.	싫었다	각자의 것을 탐해야만 살아남을 수 있는 상황이 싫었다.	싫었다	불편한 옷을 입고 인형처럼 앉아있는 상황이 싫었다.	싫었다
아연실색하다	그의 무례한 언행에 사람들은 아연실색하였다.	아연실색하였다	아이가 숨을 몰아 쉬기 시작하자 아연실색한 엄마는 아이를 들고 뛰기 시작했다.	아연실색한	배신자의 존재에 아연실색하여 너나 할 것 없이 자신의 결백함을 주장하였다.	아연실색하여	그제서야 아연실색하는 꼴을 보니 속이 시원한 것 같았다. 	아연실색하는	예기치 않은 폭로에 아연실색한 듯 말이 없었다.	아연실색한	대부분의 사람들은 배우자의 폭력적인 과거에 아연실색하는 반응을 보인다. 	아연실색하는
안달하다	식탁을 두드리며 밥을 빨리 달라고 안달한다.	안달한다	콩고물이라도 떨어질까 안달하는 꼴이 우스웠다.	안달하는	저렇게 안달하니 부탁을 안 들어줄 수가 없었다.	안달하니	안달나는 시간은 답장이 오기 전까지 이어졌다. 	안달나는	승진 소식을 기다리며 안달하고 있었다. 	안달하고	안달하는 모습을 보니 도무지 외면할 수도 없었다.	안달하는
애타다	지난 날의 추억을 곱씹으며 애타는 마음을 달래었다. 	애타는	애타는 목소리로 정인을 불러 보았으나 공중에서 그저 흩어질 뿐이었다.	애타는	소식을 그저 애타게 기다릴 뿐이었다.	애타게	결과가 연기된다는 소식도 듣지 못한 채 애타게 기도하고 있었다.	애타게	애타는 마음을 애써 숨기며 밝은 모습으로 배웅했다.	애타는	고향을 애타게 그리워하는 마음은 항상 남아있다.	애타게
약오르다	쏙쏙 잘도 피하는 것이 몹시 약올랐다.	약올랐다	약오른 아이는 발을 구르며 걸었다.	약오른	자신이 더 작은 쿠키를 먹게 되자 약올라 뾰로통해 있었다.	약올라	약오르게 혀를 내밀고선 쌩 하고 가버렸다.	약오르게	잡힐 것 같다가도 잡히지 않으니 몹시 약올랐다.	약올랐다	약오르게 구는 모습조차 미워할 수 없었다.	약오르게
얄밉다	혀를 쏙 내밀고서는 쌩 가버리는 게 얄미웠다.	얄미웠다.	얄미운 동생에게 꿀밤을 한 대 먹였다.	얄미운	얼굴을 씰룩거리며 얄밉게 굴었다.	얄밉게	자신과 달리 여유를 부리는 친구들이 얄미웠다.	얄미웠다	얄밉고 괘씸한 짓을 골라하며 사건사고가 끊이질 않았다. 	얄밉고	얄밉게 적을 농락하는 경기를 보여주었다.	얄밉게
위압감	강경한 어조로 내뱉는 그녀의 모습은 위압감이 그득해보였다.	위압감	웅장한 건물은 위압감을 풍겼다. 	위압감	그녀의 시선에는 사람을 압도하는 날카로운 위압감이 서려있다.	위압감	나이를 먹어 물러났다고는 하나 특유의 위압감은 여전했다.	위압감	굳센 모습에 의지가 되기도 했지만 위압감을 주어 사람들을 곤혹스럽게 하곤 했다. 	위압감	자연스레 몸에 배인 위압감에 동물들은 도망가곤 했다.	위압감
자만심	그는 자만심에 차 있어 제대로 된 판단을 하지 못했다.	자만심	당장의 목표를 이루었다고 해서 자만심에 빠져 있는 것은 자신의 능력을 과소평가하는 것이다.	자만심	과한 자만심이 그의 패착 요인이었다.	자만심	운으로 맛본 첫 성공에 취해 자만심이 가득한 사람이 되었다.	자만심	자만심은 인간적인 성장을 막는 가장 큰 요소이다.	자만심	자만심으로 똘똘 뭉친 사람들을 상대하는 것은 버겁다.	자만심
한	가슴에 맺힌 한을 죄다 쏟아내었다. 	한	한 어린 목소리로 간절히 외쳤다. 	한	생전에 여행 한 번 데려가지 못했던 것이 한이 맺혔다. 	한	그 혼백은 갇혀 있던 세월에 한이 남아 온 세상을 여행하듯 떠돌아 다녔다. 	한	한 어린 목소리는 귓가에서 맴돌았다.	한	한이 맺혔는지 시간만 나면 여행을 떠나곤 했다.	한
기죽다	화려하게 차려입은 사람들 사이에서 기죽었다. 	기죽었다	선생님이 다그치자 그 학생은 기죽은 목소리로 대답했다.	기죽은	기죽지 말고, 네가 하려는 것을 해라.	기죽지	기죽어 있는 모습이 안타까워보였다.	기죽어	후임의 기죽은 등을 토닥거렸다. 	기죽은	기죽지 말라는 응원이 힘든 시간을 이겨낼 수 있도록 나를 지지해 주었다.	기죽지
소외감	적당한 소외감이 되려 도움이 될 때가 있다.	소외감	도시에서 온 전학생은 단체 활동에서 큰 소외감을 느꼈다. 	소외감	외부와의 교류가 없었기 때문에 줄곧 소외감에 시달렸다. 	소외감	새로운 사람이 소외감을 느끼지 않도록 각별하게 신경써 주었다.	소외감	소외감을 느끼는 것은 사회성이 떨어지는 일과는 별개였으니 힘들 땐 상담을 받는 것도 좋은 선택이다.	소외감	주변과의 교류가 없어 소외감을 느꼈다.	소외감
외롭다	항상 반겨주던 이가 없으니 외롭다.	외롭다	외로운 마음을 달랠 방법을 찾아내고 싶었다. 	외로운	불 꺼진 집에서 외롭게 밥을 먹었다. 	외롭게	외롭다는 감정을 담담하게 여길 수 있게 됐을 때 진정으로 어른이 되었구나 하고 느꼈다.	외롭다	외롭게 죽어갈 것이 두려워 어떻게든 발버둥쳤다.	외롭게	외로운 시간을 즐겁게 만들면 되는 것 아니냐며 능청스럽게 웃었다.	외로운
침울하다	최종 결과가 발표된 후 교실은 침울했다.	침울했다	손으로 얼굴을 가리고 침울한 목소리로 이야기를 시작했다.	침울한	열심히 준비한 시험에서 떨어지고 난 후 한동안 침울하게 지냈다. 	침울하게	침울한 표정의 친구를 끌어다가 앉혔다.	침울한	화창한 날씨는 나를 침울하게 만들곤 했다.	침울하게	힘든 환경이더라도 책임을 다하지 못한다는 생각을 하면 그저 침울했다.	침울했다
허망하다	전화번호를 지우기만 해도 끊기는 관계들이 허망했다.	허망했다	사람은 그저 행복하고 허망한 이야기에서 큰 위로를 얻기도 한다. 	허망한	그 헌신적이던 여성은 하고 싶은 것 하나도 해보지 못하고 허망하게 죽었다. 	허망하게	지도자의 가벼운 태도에 지금까지 고민하던 시간이 허망하게 느껴질 정도였다.	허망하게	지금까지 혼자 아등바등 노력했던 밤이 허망할 정도였다. 	허망할	허망한 마음을 갖게 되니 일이 도무지 손에 잡히지 않았다.	허망한
허무하다	2년간 준비했던 계획이 무산되어 너무 허무했다.	허무했다	집에 들어와서야 아쉽고 허무한 마음을 달랠 수 있었다. 	허무한	사람들은 서로를 비교하여 자신의 삶을 허무하게 만드는 데에 취미가 있는 듯 보였다.	허무하게	노력해도 바뀌지 않는 사람들의 태도가 허망했다.	허무했다	허무한 기분에 사로잡혀 그렇게 좋아하던 음식의 맛도 느껴지지 않았다.	허무한	허무하기만 한 자신을 아껴 주는 애인에 대한 근본적인 의문과 사랑이 남았다.	허무하기만
주눅들다	다른 사람들을 보면 항상 좋아 보여서 주눅들었다.	주눅들었다	많은 사람들 앞에 서자 주눅든 모습이었다.	주눅든	직원은 일을 시작한 지 얼마 안 되었는지 몹시 주눅들어 보였다. 	주눅들어	따끔한 지적에 주눅들어 고개를 들지 못했다.	주눅들어	수많은 질책을 받아 주눅들다가도 금세 회복하여 괜찮아지기도 했다.	주눅들다가도	구멍 난 운동화를 숨기며 주눅든 아이의 모습이 안쓰러웠다. 	주눅든
남부끄럽다	못난 배우자가 남부끄럽다.	남부끄럽다	남부끄러운 이야기를 큰 목소리로 떠들어댔다.	남부끄러운	남부끄럽게 무슨 짓이니?	남부끄럽게	정작 자신은 뻔뻔하게 서 있으니 내가 다 남부끄러워 쳐다볼 수 없었다. 	남부끄러워	어리석은 지난 날을 생각하면 남부끄럽고 회피하고만 싶다.	남부끄럽고	남부끄러운 실수를 통해서 발전하는 것이 자신의 미덕이라고 여겼다.	남부끄러운
낭패스럽다	갑작스러운 기차 지연 소식은 몹시 낭패스럽다.	낭패스럽다	낭패스러운 일을 연이어 당하자 자신감이 떨어졌다.	낭패스러운	반성하는 것 같다가도 낭패스럽게 웃으며 집으로 돌아오기 일쑤였다. 	낭패스럽게	낭패스럽게도 연회에 쓸 물건들이 죄다 불탔으니 화재는 누군가 사주한 듯 보였다. 	낭패스럽게도	정성껏 준비한 선물을 두고 오다니, 낭패스러운 일이었다. 	낭패스러운	그녀의 취향을 알아보지 않고 선물을 골랐던 것이 낭패였다.	낭패였다
근심걱정	온갖 근심 걱정이 나를 괴롭혔다.	근심 걱정	지금 이 순간만은 모든 근심 걱정을 내려놓고 차분히 생각해보세요.	근심 걱정	상담을 꾸준히 받으니 복잡한 감정도 많이 풀리고 근심 걱정을 다룰 방법을 배울 수 있었다.	근심 걱정	근심이 가득한 얼굴에는 햇빛 한 자락 닿지 않았다.	근심	먼 길을 떠난 정인에 대한 걱정으로 밤낮 할 것 없이 편지만을 읽곤 했다.	걱정	결과가 발표되기 전 까지 근심 걱정은 날이 갈 수록 커져만 갔다.	근심 걱정
불편하다	내 의사는 반영하지 않은 채 좋은 게 좋은 거라고 얼버무리는 상황이 불편했다.	불편했다	함께 있을 때 불편한 사람들과는 인연을 잇고 싶지 않다.	불편한	제 딴에는 호의랍시고 하는 행동들이 나를 더욱 불편하게 만들었다.	불편하게	가시가 숨겨진 말을 듣고 있자니 마음이 불편했다.	불편했다	불편한 대화를 나누는 와중에도 그녀는 자신의 사업에 대한 생각뿐이었다.	불편한	불편하게 느끼는 사람이 없었으면 좋겠다며 그녀는 축제 준비에 사활을 걸었다.	불편하게
비애	만학도의 하굣길에는 이유 모를 비애가 묻어났다.	비애	자신에게 우호적이기만 하던 세상에게서 버림받은 비애가 녹아든 작품이다. 	비애	불 꺼진 연습실에서 들려오는 노랫소리에는 연습생의 비애가 섞여있는 듯 했다.	비애	절절한 비애가 드러나는 구절이 특히 마음에 들었다. 	비애	주인공의 비애와 절망을 사실적으로 드러내 눈살을 찌푸리며 몰입했다.	비애	떠나간 이에 대한 사랑을 자각하는 비애를 담고 있다.	비애
민망하다	급히 온 기색이 역력해서 민망했다.	민망했다	민망한 속내를 미소로 감추는 데에 능했다.	민망한	민망하게 웃으며 변명하기 시작했다.	민망하게	그들의 무지는 내가 다 민망할 정도였다. 	민망할	숨겨오던 비밀이 드러난 듯 민망하다며 작게 웃었다. 	민망하다	민망한 상황을 현명하게 만회하는 그녀의 능청스러운 면이 좋았다.	민망한
서럽다	축하해주는 이 없는 생일은 매년 서럽다. 	서럽다	서러운지 닭똥같은 눈물을 뚝뚝 흘리면서 말했다.	서러운	내가 뭘 잘못했냐며 서럽게 울었다.	서럽게	손과 발이 되어 일했건만 비참한 최후를 맞는 것이 서러웠다.	서러웠다	친구 앞에서는 내색하지 않고 집으로 돌아와 홀로 서러운 마음을 달랬다. 	서러운	서럽게 울다가도 정신이 돌아오면 욕지거리를 내뱉었다.	서럽게
속상하다	깨끗했던 방이 어지럽혀진 것을 보고 속상했다.	속상했다	자신만 집에 남겨진 것이 속상한 모양이었다. 	속상한	초라한 밥상은 나를 더욱 속상하게 만들었다.	속상하게	온갖 사람들을 걱정하면서 정작 자신의 몸을 돌보지 않는 애인이 속상했다.	속상했다	속상한 마음을 달래기 위해 혼자만의 시간이 필요했다.	속상한	나를 속상하게 만드는 것도 그녀였지만, 행복하게 만드는 것도 그녀이기에 나는 도무지 떠날 수 없었다.	속상하게
시기하다	뭐든 쉬워보이는 동창을 시기했다. 	시기했다	축하하고 있었으나 내심 시기하는 마음을 갖고 있었다.	시기하는	타인의 행운을 시기해서는 안 된다.	시기해서	과정은 궁금해하지도 않으면서 결과만을 시기하는 사람들이 지겨웠다.	시기하는	축하를 건네면서도 나보다 빠른 성취를 보이는 친구를 시기했다.	시기했다	주변의 이들을 시기하느라 귀인들을 다 내쫓아버린 격이었다.	시기하느라
야속하다	즐거울 때만 빠르게 흐르는 시간이 야속했다.	야속했다	자신을 소외시키는 것 같아 야속한 마음이 들었다. 	야속한	친구는 간절한 내 마음을 아는지 모르는지 야속하게도 거절하였다. 	야속하게도	야속한 마음을 숨기려는 생각도 없는 듯 다음을 기약하는 편지를 건네었다. 	야속한	휴식 시간은 언제나 야속하게 흐른다.	야속하게	오랜시간 만나지 못해 야속한 마음조차 알아주질 않으니 속이 들끓었다. 	야속한
위화감	집과 어울리지 않는 그림은 위화감이 들었다.	위화감	명품을 과시하는 학생이 있어 위화감이 조성되고 있다. 	위화감	수도권과 비수도권 사이의 위화감을 없애는 데에 주력하겠다고 주장했다.	위화감	모든 상황이 짜여져 있고 내 선택마저 정해져 있는 것 같다는 위화감이 들었다.	위화감	사고 이후 다른사람이 된 것 같은 말투와 행동에서 위화감이 느껴지곤 했다.	위화감	시간을 건너뛴 듯 반복되는 일상에 위화감을 느끼기 시작했다.	위화감
의심	의심의 화살은 나에게로 향했다.	의심	의심이 많은 사람은 신중하지만 때론 답답해보이기도 한다.	의심	사기를 당한 후 의심이 많아졌다.	의심	금발이라는 증언에 모두들 의심스럽게 나를 바라보았다.	의심스럽게	서로를 향한 의심 속에서도 자신을 믿어주는 이가 있다는 건 큰 위로가 되었다. 	의심	의심스러운 눈초리가 여러 사람을 훑어보다가 이내 나에게로 향했다.	의심스러운
의혹	한 점의 의혹조차 남기고 싶어 하지 않았다.	의혹	그의 갑작스러운 승진에 비리가 있다는 의혹이 돌고 있다.	의혹	다급하게 상황을 마무리하는 선생님을 보고 의혹을 품었다.	의혹	조작된 증거라는 의혹에도 꿋꿋하게 허리를 펴고 재판에 임했다. 	의혹	다른 의혹이 피어나고 있는 줄은 꿈에도 상상하지 못했다.	의혹	안심하기에는 의혹이 소문처럼 돌았으니 해야 할 일은 명백했다.	의혹
전전긍긍	몸이 약한 아이를 돌보는 아버지는 항상 전전긍긍하였다.	전전긍긍하였다	마을에 도둑이 들었다는 소식에 마을 주민들은 모두 전전긍긍해 하는 모습이었다.	전전긍긍해	망국의 왕은 전전긍긍 목숨을 부지하며 후일을 도모했다. 	전전긍긍	전전긍긍하는 모습을 보니 퍽 즐거웠다. 	전전긍긍하는	혹여나 거사가 잘못될까 전전긍긍했다.	전전긍긍했다	전전긍긍하며 남은 시간을 자꾸만 쳐다보았다. 	전전긍긍하며
켕기다	켕기는 구석이 있는지 안절부절하였다.	켕기는	당장이라도 떠나고 싶은 마음이 굴뚝같았으나 켕기는 것이 있어 떠나지 못하는 상황이었다. 	켕기는	거짓말을 한 것이 켕겨서 마음이 불편했다.	켕겨서	온갖 증거를 들이밀자 켕기는 구석이 있는지 말을 더듬기 시작했다.	켕기는	소란스럽고 켕기는 마음을 애써 외면했다.	켕기는	대의를 위해서였다고는 하나 거짓을 고한 것이 켕겨 마음이 불편했다.	켕겨
토라지다	사소한 일에도 쉽게 토라졌다.	토라졌다	사탕 하나를 쥐어 주자 토라졌던 마음을 풀었다.	토라졌던	원하던 것과 달랐는지 토라져 있었다. 	토라져	토라져서 방에 들어가더니 방문까지 걸어잠그고선 나오지 않았다.	토라져서	자신의 편을 들어주지 않자 토라진 듯 홱 가버렸다. 	토라진 듯	선물을 받지 못한 게 서운한지 크게 토라졌다. 	토라졌다
회한	어리석었던 지난 날을 생각하면서 회한에 잠겼다.	회한	자신의 지난 선택에 대해 이야기할 때 깊은 회환이 묻어났다.	회한	회한이 서린 목소리로 호소했다.	회한	하늘에 구멍이 뚫린 듯 비가 내리면 그는 회한에 잠기곤 했다. 	회한	회한이 서린 목소리로 나에게는 그러지 말라고 말했다.	회한	미어지는 듯한 회한이 몰려와 눈앞이 흐려졌다.	회한
고민하다	시도라도 다시 해 볼 것인지, 이대로 포기할지를 고민하였다.	고민하였다	고민하는 와중에도 타자를 치는 손은 계속 움직이고 있었다.	고민하는	앞으로의 진로를 생각하며 깊은 고민에 빠졌다. 	고민	그녀는 밤낮으로 일생일대의 고민을 해결할 수 있는 방법을 모색했다. 	고민	심사숙고하며 고민하는 그녀를 창문을 통해 보곤 했다.	고민하는	중대한 고민에 빠져 어떠한 말도 들리지 않았다. 	고민
떨떠름하다	전 애인의 갑작스러운 연락에 그저 떨떠름했다.	떨떠름했다	떨떠름한 표정으로 책자를 받아들었다.	떨떠름한	합격 사실에 기쁘기보다는 떨떠름하게 느껴졌다. 	떨떠름하게	친구와의 약속으로 대신 앉아있게 되어 떨떠름한 눈치였다.	떨떠름한	떨떠름하게 승낙한 것을 이토록 잘 써먹을 줄은 예상하지 못했다.	떨떠름하게	가문의 인장이 박힌 손수건을 떨떠름하게 받았다. 	떨떠름하게
망연하다	온 재산을 잃고 난 후 모든 게 망연하였다.	망연하였다	망연스러운 패배감 속에서 절망하였다.	망연스러운	그저 망연하게 펼쳐진 바다가 나를 절망시켰다.	망연하게	열과 성을 다해 꾸민 장소가 철거된다는 소식에 그저 망연했다.	망연했다	그토록 바라던 것이 모두 허상이었다는 것을 알게 되어 망연한 모양이었다.	망연한	망연하게 바라보았으나 돌아오는 것은 없었다. 	망연하게
서운하다	자신의 몫을 남겨두지 않아 내심 서운했다.	서운했다	서운한 마음을 꺼내는 것은 용기있는 일이다.	서운한	머리로는 이해가 되었지만 서운하게 느껴졌다.	서운하게	자신을 바라보지 않는 부모가 서운했다.	서운했다	서운한 마음은 잘 알겠지만 그녀의 뒷감당을 하기에도 모자란 시간이었다.	서운한	서운한 시선이 온몸을 찔러 댔지만 나로서도 방도가 없었다.	서운한
시큰둥하다	야심차게 내놓은 기획이었건만 반응은 시큰둥했다.	시큰둥했다	시큰둥한 직원을 보니 나도 덩달아 기분이 상했다. 	시큰둥한	나와는 상관없다는 듯 시큰둥하게 흘겨보았다.	시큰둥하게	시큰둥한 그 표정에 되려 상처를 받곤 했으니 더는 시도하고 싶지 않았다.	시큰둥한	시큰둥하게 고개를 끄덕이며 손을 휘저었다.	시큰둥하게	내 말은 다 들은 후에 그래서 하고싶은 말이 뭐냐고 시큰둥하게 답했다.	시큰둥하게
심드렁하다	개선되지도 않고, 퇴보하지도 않은 채 그저 심드렁했다.	심드렁했다	먼저 제안했음에도 심드렁한 표정이었다. 	심드렁한	변화할 여지가 없다는 생각에 나도 모르게 심드렁하게 대하게 된다.	심드렁하게	심드렁한 태도에 나까지 진이 빠졌다.	심드렁한	심드렁하게 한숨을 내쉬더니 약속이 있다며 자리를 떴다.	심드렁하게	자신의 손을 떠난 일이라고 생각하는지 심드렁한 기색이었다.	심드렁한
씁쓸하다	충격적인 사실을 알고 보니 상황이 씁쓸했다.	씁쓸했다	매일 먹던 커피이건만 오늘따라 씁쓸한 맛이 나는 것 같았다. 	씁쓸한	나를 두고 떠나는 모습을 보니 씁쓸하기 짝이 없었다. 	씁쓸하기	그녀는 생전에 씁쓸한 커피의 향이 자신과도 같아 좋다고 말했다.	씁쓸한	자신의 패배를 씁쓸하게 받아들인 듯 고개를 푹 숙이고 있었다.	씁쓸하게	씁쓸한 맛이 느껴지기도 전에 재빠르게 삼켰다.	씁쓸한
아연하다	앞뒤가 맞지 않는 정책을 펼치는 정부를 보며 나는 아연하였다.	아연하였다	무차별한 살인사건에 우리는 아연할 수밖에 없었다. 	아연할	내가 떠난 고향의 발전은 아연하게 진행되어왔다.	아연하게	예상과는 다르다는 듯 입이 절로 벌어지며 아연한 표정을 지었다. 	아연한	계획했던 나조차 아연할 지경이었다.	아연할	갑작스러운 방문에 아연할 틈도 없이 어수선을 떨었다. 	아연할
식상하다	나름대로 꾸미려고 노력하였으나 객관적으로 보았을 때 식상했다.	식상했다	식상한 변명을 하려거든 다시 생각하고 오도록 해.	식상한	지키지도 않을 약속을 떠들어대는 꼴을 보니 식상하게 들렸다. 	식상하게	식상한 인사에 고개를 끄덕이며 입구로 들어섰다.	식상한	의도가 뻔히 보이는 질문이 식상하게 느껴질 정도였다.	식상하게	기대와 달리 연회장의 식기나 소품들은 식상하기 짝이 없었다.	식상하기
지겹다	감정 쓰레기통 취급을 받는 것도 이젠 지겹다. 	지겹다	신나기만 했던 여행도 지겨운 일상이 된 지 오래였다.	지겨운	새벽의 진솔한 대화도 지겹게 느껴졌다.	지겹게	불가능한 요구를 재차 해 대니 지겨울 지경이었다.	지겨울	지겨운 일상은 잃고 나서야 그 소중함을 알게 되었다.	지겨운	지겹게 들려오는 소음에도 익숙해졌다.	지겹게
처연하다	뺨에 스치는 강바람이 처연하다.	처연하다	처연한 바다만이 내 옆을 지켜주었다.	처연한	구름 한 점 없는 하늘에 달이 처연하도록 밝았다.	처연하도록	후회와 애정이 가득한 편지는 어딘가 처연하게 느껴졌다.	처연하게	그녀의 모습은 본성을 알고 있는 나에게도 처연할 정도였다. 	처연할	쏟아지는 비 사이에 처연하게 서 있는 나의 정인	처연하게
체념하다	아무리 노력해도 안 되는 일이 있다는 것을 체념했다.	체념했다	무리하며 계속하기보다는 일찍 체념하는 것이 낫다.	체념하는	수많은 불만사항들을 받아내며 체념의 경지에 이른 듯 했다.	체념	경제적인 한계로 미처 다뤄보지 못한 재료에 대한 체념조차 예술적으로 승화시켰다.	체념	현실에 체념한 사람들은 자신들의 어린 시절을 동경하곤 한다.	체념한	자아실현이라는 초심은 잊은 지 오래였고 체념한 모습으로 일상을 반복하곤 했다.	체념한
허탈하다	목에서 쇠 맛이 나도록 달렸는데 제 시간에 들어오지 못해 허탈하였다.	허탈하였다	서류 합격 결과를 본 후에 허탈한 마음으로 강의실에 앉아있었다. 	허탈한	내기에서 진 노름꾼들은 허탈하게 집으로 돌아갔다.	허탈하게	허탈한 마음을 달래는 방법은 각자 다르고 그것을 존중해주어야 한다.	허탈한	지금껏 노력한 결과가 무로 돌아가자 허탈함을 이기지 못해 일을 그만두는 직원도 있었다.	허탈함	오랜기간 준비하던 시험을 마치고 나오는 길에 느낀 허탈함의 여파는 거셌다. 	허탈함
허허롭다	짐을 다 뺀 후의 집은 허허롭다.	허허롭다	나를 반기는 것은 허허로운 들판이었다.	허허로운	당신께서는 가만히 나를 보다가 허허롭게 웃곤 하셨다. 	허허롭게	허허로운 웃음을 지으며 나를 사랑스럽게 바라보던 당신이 그립다. 	허허로운	허허롭게 펼쳐진 미래가 두렵기도 했지만 설레기도 했다.	허허롭게	또다시 사랑하는 사람을 떠나보내고 나니 허허로운 마음뿐이었다. 	허허로운
